,title,link
10,"Is an annual lockdown the solution to Delhi's air pollution woes? Yes, says data",news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LmRvd250b2VhcnRoLm9yZy5pbi9uZXdzL2Fpci9pcy1hbi1hbm51YWwtbG9ja2Rvd24tdGhlLXNvbHV0aW9uLXRvLWRlbGhpLXMtYWlyLXBvbGx1dGlvbi13b2VzLXllcy1zYXlzLWRhdGEtODAyMTbSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
11,Will lockdown be imposed in Karnataka Again? Covid Panel Breaks Silence l Read Here,news.google.com/./articles/CAIiEB0HLMmbhHrcJPhi2sFFIawqGQgEKhAIACoHCAow5dz4CjCO8d4CMLW6uAY?uo=CAUi7wFodHRwczovL3d3dy5pbmRpYS5jb20va2FybmF0YWthL2thcm5hdGFrYS1sb2NrZG93bi1uZXdzLXRvZGF5LTI4LW9jdG9iZXItMjAyMS1yZXBvcnRzLW9mLWFub3RoZXItbG9ja2Rvd24tZGlzbWlzc2VkLWJ5LWNvdmlkLXBhbmVsLXRhYy1zYXlzLXJ1bW91cnMtdW5mb3VuZGVkLXVucmVhbGlzdGljLWNvdmlkLWRlbHRhLXZhcmlhbnQtYXktNC0yLWJlbmdhbHVydS1kYWtzaGluYS1rYW5uYWRhLWhhc3Nhbi01MDczMjk4L9IBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
12,"Bored in lockdown, man builds giant 18-ft wall around his garden; ordered to take it down in two weeks",news.google.com/./articles/CAIiEPJ_Chp5APvXsZPuGzNoE44qGQgEKhAIACoHCAowr6n9CjCr4PQCMOTdpQY?uo=CAUimQFodHRwczovL3d3dy50aW1lc25vd25ld3MuY29tL3RoZS1idXp6L2FydGljbGUvYm9yZWQtaW4tbG9ja2Rvd24tbWFuLWJ1aWxkcy1naWFudC0xOC1mdC13YWxsLWFyb3VuZC1oaXMtZ2FyZGVuLW9yZGVyZWQtdG8tdGFrZS1pdC1kb3duLWluLXR3by13ZWVrcy84MzI0NjHSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
13,Karnataka Lockdown Update: CM Bommai Takes BIG Decision | Deets Inside,news.google.com/./articles/CAIiEP7DKnosJQUOyts4Dpae2WsqGQgEKhAIACoHCAow5dz4CjCO8d4CMLW6uAY?uo=CAUi8QFodHRwczovL3d3dy5pbmRpYS5jb20va2FybmF0YWthL2thcm5hdGFrYS1sb2NrZG93bi1sYXRlc3QtbmV3cy10b2RheS01LW5vdmVtYmVyLTIwMjEtY20tYnMtYm9tbWFpLXRha2VzLWJpZy1kZWNpc2lvbi1sYXRlc3QtZ3VpZGVsaW5lcy1mb3ItYmVuZ2FsdXJ1LW15c29yZS1iYWdhbGtvdC1iYWxsYXJpLWJlbGFnYXZpLWNoaWtiYWxsYXB1ci1sb2NrZG93bi1pbi1rYXJuYXRha2EtbGF0ZXN0LW5ld3MtdG9kLTUwODQ1MjQv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
14,"European shares slip as lockdown worries, miners drag",news.google.com/./articles/CBMihgFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9ldXJvcGVhbi1zaGFyZXMtc2xpcC1hcy1sb2NrZG93bi13b3JyaWVzLW1pbmVycy1kcmFnL2FydGljbGVzaG93Lzg3NzE0ODQzLmNtc9IBgQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9ldXJvcGVhbi1zaGFyZXMtc2xpcC1hcy1sb2NrZG93bi13b3JyaWVzLW1pbmVycy1kcmFnL2FtcF9hcnRpY2xlc2hvdy84NzcxNDg0My5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
15,German Covid Deaths Spike as Lockdown for Unvaccinated Nears,news.google.com/./articles/CAIiECLhLZWJZFSRZikoMYcUVoEqGQgEKhAIACoHCAowqvSQCzD0nKUDMOHViwc?uo=CAUiZGh0dHBzOi8vd3d3LmJsb29tYmVyZ3F1aW50LmNvbS9wb2xpdGljcy9nZXJtYW4tY292aWQtZGVhdGhzLXNwaWtlLWFzLWxvY2tkb3duLWZvci11bnZhY2NpbmF0ZWQtbmVhcnPSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
16,Will there be another Christmas lockdown? Boris Johnson can't rule one out,news.google.com/./articles/CBMihgFodHRwczovL3d3dy5uZXdzdGF0ZXNtYW4uY29tL3NjaWVuY2UtdGVjaC9jb3JvbmF2aXJ1cy8yMDIxLzExL3dpbGwtdGhlcmUtYmUtYW5vdGhlci1jaHJpc3RtYXMtbG9ja2Rvd24tYm9yaXMtam9obnNvbi1jYW50LXJ1bGUtb25lLW91dNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
17,Public health strategies associated with reduced SARS-CoV-2 transmission in Switzerland,news.google.com/./articles/CAIiELBcWSb8cm2lf9-puZJQyHYqMwgEKioIACIQZdRflS9INK7zM5FkBi3R3CoUCAoiEGXUX5UvSDSu8zORZAYt0dwww8TIBg?uo=CAUihwFodHRwczovL3d3dy5uZXdzLW1lZGljYWwubmV0L25ld3MvMjAyMTExMTUvUHVibGljLWhlYWx0aC1zdHJhdGVnaWVzLWFzc29jaWF0ZWQtd2l0aC1yZWR1Y2VkLVNBUlMtQ29WLTItdHJhbnNtaXNzaW9uLWluLVN3aXR6ZXJsYW5kLmFzcHjSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
18,"Tamil Nadu Covid lockdown extended till Nov 15. What's allowed, what's not",news.google.com/./articles/CAIiEIdJWk4WGWCh5TIrjQ1U7JMqGQgEKhAIACoHCAowoPX9CjDmofYCMKnF3AU?uo=CAUihAFodHRwczovL3d3dy5pbmRpYXR2bmV3cy5jb20vbmV3cy9pbmRpYS90YW1pbC1uYWR1LWNvdmlkMTktbG9ja2Rvd24tZXh0ZW5kZWQtbm92ZW1iZXItMTUtZ3VpZGVsaW5lcy1sYXRlc3QtY29yb25hdmlydXMtdXBkYXRlcy03NDE4NjfSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
19,"Lockdown lifted at Cypress Creek High School, no weapons located",news.google.com/./articles/CAIiEF9xgaKmoFnPLIxYmVCKEp0qGQgEKhAIACoHCAowjsP-CjDlzvYCMJmz3gU?uo=CAUic2h0dHBzOi8vd3d3LmNsaWNrb3JsYW5kby5jb20vbmV3cy9sb2NhbC8yMDIxLzExLzEyL2xvY2tkb3duLWxpZnRlZC1hdC1jeXByZXNzLWNyZWVrLWhpZ2gtc2Nob29sLW5vLXdlYXBvbnMtbG9jYXRlZC_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
